,MONTH,LAT_0hr,LONG_0hr,STORM_SPEED_0hr,STORM_DIR_0hr,LAT_60hr,LONG_60hr,STORM_SPEED_60hr,STORM_DIR_60hr,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets,mag_0hr,ang_0hr,mag_60hr,ang_60hr,dist_0hr,dist_60hr,EP,NI,SA,SI,SP,WP,34kn_pop_qz,34kn_asset_qz
439,9,19.1458,-109.904,4,329,22.9924,-106.472,7,73,1893079,28359559235.0,0,0.0,0,0.0,2082.438468745736,91.29516554966244,1125.4900667125041,91.0797293448968,0.9152069171444305,0.18860633576049124,1,0,0,0,0,0,0,0
440,11,7.82876,112.296,4,83,11.6171,112.813,6,274,619280,16614750400.0,0,0.0,0,0.0,2847.6897449336143,88.62036268146437,2004.6654472591808,88.6597722315604,0.8809050820837646,1.4897841502288143,0,0,0,0,0,1,0,0
441,12,8.75702,110.269,10,288,7.06107,100.517,9,253,1650825,9907641592.0,0,0.0,0,0.0,3045.629278294724,88.57388079717299,3437.838388877708,88.7111583643512,1.649675346752797,0.0,0,0,0,0,0,1,0,0
442,5,5.82999,138.824,6,321,9.56672,132.808,7,284,78150635,687000000000.0,17501135,193000000000.0,2498810,24958807152.0,752.8378270097925,90.13506333389684,690.5804785463368,90.29217246309742,2.779722604394908,2.414879544985232,0,0,0,0,0,1,1,1
443,5,15.2514,115.924,20,255,13.9001,115.75,6,122,59919,1362085940.0,0,0.0,0,0.0,2381.15044509653,91.4586932344715,1642.2804249713874,88.55813444118671,3.4816637625073863,2.8061062247814164,0,0,0,0,0,1,0,0
444,6,8.79511,150.263,11,280,9.73757,137.915,9,296,1264381,228000000000.0,8194,1220940667.0,7256,1112411838.0,1417.8212430684664,91.25948651866725,993.8017890847046,90.851807920266,0.019726693108559467,0.26390687982884775,0,0,0,0,0,1,0,0
445,6,14.4502,-100.3,4,327,16.2462,-102.921,7,279,2418116,41221314368.0,58880,1770431262.0,0,0.0,1000.5928642452237,91.50182596467836,668.0069870864627,88.68383591610986,2.33341288994854,1.8123485534752946,1,0,0,0,0,0,1,1
446,7,18.0765,134.025,16,248,20.6872,118.445,16,282,78656448,1860000000000.0,7730334,211000000000.0,0,0.0,690.3919827837905,90.62909373519729,1402.173921522068,91.2018294260499,3.122592793999239,1.723823008955671,0,0,0,0,0,1,1,1
447,7,18.2432,142.243,15,289,22.3013,126.67,13,280,43016,5960212260.0,0,0.0,0,0.0,737.3566561534459,89.32608044148536,787.0601376548265,90.58294103914537,3.434494118534634,2.693461547350732,0,0,0,0,0,1,0,0
448,7,15.775,115.14,9,230,18.3452,111.828,7,325,42861154,991000000000.0,17048326,394000000000.0,2087543,41424779225.0,2468.3650942675226,91.43983057492837,2041.9738753841327,91.44161968232616,2.557913133778596,1.3466875874608075,0,0,0,0,0,1,1,1
449,7,11.0928,112.987,9,77,15.7748,111.699,10,297,3610642,83324298746.0,0,0.0,0,0.0,2713.3596130923047,88.49686927157772,2054.9378576703093,88.43395117562024,1.2034369528450628,0.2803770026678354,0,0,0,0,0,1,1,1
450,8,24.1995,139.599,10,241,26.5376,128.064,4,284,23997866,531000000000.0,4554620,116000000000.0,678822,14633611663.0,1188.848570491484,89.85055821002088,1101.2791679118493,90.26091209214313,1.7680950290086435,0.012897443545561287,0,0,0,0,0,1,1,1
451,8,16.3952,117.678,7,305,17.8507,116.906,4,46,2242100,9617624997.0,0,0.0,0,0.0,2204.641439521929,91.39370252352334,1503.3526971793995,91.43004425232641,2.0850876547975163,2.8611302929445555,0,0,0,0,0,1,0,0
452,8,18.2275,148.602,5,308,26.193,147.961,15,341,14354049,1700000000000.0,66702,12230179628.0,0,0.0,1280.7400484069979,88.89928782980083,2037.703782277296,88.97385463787923,2.7942498613955564,5.733363035351609,0,0,0,0,0,1,1,1
453,8,27.345,131.94,3,355,27.5196,130.78,5,320,6577195,881000000000.0,362781,41976549603.0,0,0.0,1608.2903968500484,90.38720548947813,1155.032874853859,90.011437601875,1.5223012620558978,1.1103775185750993,0,0,0,0,0,1,1,1
455,8,18.1134,168.017,19,279,22.4897,149.158,15,307,5742101,908000000000.0,488287,67164412771.0,0,0.0,3271.340418515988,88.60436773490143,2023.7930036276193,88.77745375100396,1.7834381854734855,4.6321692727222175,0,0,0,0,0,1,1,1
456,8,16.8977,147.32,9,148,14.1801,139.719,12,310,85289762,2010000000000.0,16950662,368000000000.0,6260193,138000000000.0,1101.8478516607822,88.84052661235854,961.771364450958,91.38162778809851,1.5239827118957008,4.0897208413661925,0,0,0,0,0,1,1,1
457,9,17.0501,137.282,5,78,19.5526,139.289,9,341,14120133,1920000000000.0,0,0.0,0,0.0,451.8763100677033,90.13903704856745,962.336873521955,88.84383748790115,3.5785558353415494,3.316025050818675,0,0,0,0,0,1,1,1
458,9,17.3913,111.61,3,44,18.0938,117.773,5,108,16423,381612240.0,0,0.0,0,0.0,2857.079694976273,91.39701981037078,1414.8558154222364,91.40285521962127,0.7186882112021915,2.608649479431071,0,0,0,0,0,1,0,0
459,9,14.3416,-105.756,11,265,18.0112,-114.282,9,312,30307,1187713180.0,0,0.0,0,0.0,1587.804209114702,91.53472356641045,1846.3485708922492,91.56059539889294,4.562265003414204,0.5399458053545794,1,0,0,0,0,0,0,0
460,9,14.6426,141.25,6,238,17.9211,133.367,11,324,1280009,116000000000.0,69014,7262480747.0,0,0.0,413.5056170513329,88.93412390804238,335.05444012732397,89.12642019915798,3.574516401614617,3.694031269647842,0,0,0,0,0,1,0,0
461,9,13.3027,157.915,7,270,14.6501,153.0,7,297,62624058,7350000000000.0,26271351,3020000000000.0,3291335,408000000000.0,2170.3879548904683,88.45529915845137,2372.104373357433,91.51579969259018,4.508564370813395,5.9203212649999,0,0,0,0,0,1,1,1
463,9,18.7519,-114.997,5,3,23.9064,-111.66,20,42,1803298,36604434620.0,661147,9048092813.0,0,0.0,2603.2643392709037,91.36738796209806,1649.1129511841048,91.18224256987493,0.43471119715967593,0.39825117883315847,1,0,0,0,0,0,0,0
465,10,11.8493,-97.5574,11,309,19.7624,-105.182,13,343,2838422,57790596521.0,185944,3033153393.0,0,0.0,736.2714490738105,88.72150965603203,900.1182262157251,91.3439347466024,3.9236896786429227,0.0,1,0,0,0,0,0,1,1
466,10,9.7525,137.397,5,8,14.8003,135.324,14,303,11544246,85150094107.0,2489895,19064486558.0,0,0.0,326.4851473150273,89.84191382380749,485.67767086964085,91.333718852837,0.7207193068109263,5.675671421526794,0,0,0,0,0,1,1,1
467,11,9.32254,137.573,11,304,13.4736,124.403,11,293,52624442,479000000000.0,7659768,79736373844.0,0,0.0,369.8255698961659,89.91154915165733,743.0344720322521,88.78136758539934,0.5007295766628859,0.09663241179853022,0,0,0,0,0,1,1,1
468,11,8.54029,139.251,18,304,16.3604,125.521,14,291,103839,1478848272.0,0,0.0,0,0.0,476.55513633885545,90.31286233474168,578.2038768422768,91.47936936207472,1.1575634520578215,2.5689183552758137,0,0,0,0,0,1,0,0
469,12,7.26033,138.24,16,289,12.1294,124.583,9,256,36171777,339000000000.0,5663156,63503926576.0,780895,7335898596.0,591.8168141077217,90.06520545828337,785.9116758441623,88.96244243203516,1.2731930175193396,0.0,0,0,0,0,0,1,1,1
470,1,-12.0457,164.894,7,245,-14.0012,160.584,8,244,914097,148000000000.0,55535,7751411577.0,37,0.0,2747.174006621606,88.4463908151431,2277.7000214239156,88.4718663090333,1.4476707601720111,2.158016937602206,0,0,0,0,1,0,0,0
471,2,1.86259,143.645,19,295,9.71917,128.483,14,274,20841314,196000000000.0,9045320,77300953098.0,0,0.0,1340.5523864527281,90.4858781030816,694.9928916490015,89.62348932435789,3.0333502494466407,2.3024680327216296,0,0,0,0,0,1,1,1
472,3,-16.0758,122.924,3,224,-17.6192,121.886,7,0,18265,6529135882.0,0,0.0,0,0.0,3571.515891003174,91.4771660794553,3739.280831995219,91.50106255213507,0.2443370899085897,0.2650620905089964,0,0,0,1,0,0,0,0
473,3,4.30243,150.385,9,324,10.3454,139.023,16,302,12362122,94771734353.0,9552980,59796286957.0,4394483,25772307405.0,1649.5609692955936,90.97506242768732,1050.8129628540207,90.97311214948886,2.604001592881612,0.6285760896152454,0,0,0,0,0,1,1,1
474,6,15.2057,-102.702,8,316,21.3128,-112.312,9,298,7349,144999090.0,0,0.0,0,0.0,1263.429163549473,91.4517271085495,1656.6074078680952,91.34979405404545,2.6212506445216164,2.4813306010834153,1,0,0,0,0,0,0,0
475,6,10.15,141.663,8,294,12.903,130.861,13,304,31982824,785000000000.0,8213582,174000000000.0,0,0.0,498.2423431138446,90.96338410893681,307.42365509560574,89.9823526757002,1.1871285626136014,5.344546176534063,0,0,0,0,0,1,1,1
476,6,9.57499,147.55,13,312,14.71,137.9,6,315,44551,4982047655.0,0,0.0,0,0.0,1108.779031199471,91.25078820506398,758.9369446665771,91.4068218830322,1.4862206066021941,4.9583328041929535,0,0,0,0,0,1,0,0
477,7,20.5727,154.385,8,312,22.2825,148.475,5,264,10842393,211000000000.0,0,0.0,0,0.0,1931.4916012599067,88.87032035419537,1950.9061070956432,88.77950294078158,3.7300345608677654,3.9483913783656175,0,0,0,0,0,1,1,1
478,8,10.0451,144.665,11,280,14.6385,129.06,23,283,11327906,283000000000.0,0,0.0,0,0.0,794.7972519341677,91.18769012154874,235.8053639006943,89.01420839899919,1.0807451749404302,4.306802965834984,0,0,0,0,0,1,1,1
479,8,19.3552,144.59,4,62,18.0301,141.652,3,350,22228242,2530000000000.0,0,0.0,0,0.0,990.7465095281732,89.20444441583584,1162.7279885286555,88.6280617335255,0.8643454711873043,4.053154117258441,0,0,0,0,0,1,1,1
480,8,13.89,131.832,6,270,17.7184,121.853,11,290,79766464,1920000000000.0,8947995,202000000000.0,0,0.0,664.6302795979664,91.38923227470995,982.4558337723513,91.36912537987139,6.47869498479965,0.0,0,0,0,0,0,1,1,1
481,8,18.2927,143.592,8,270,20.2086,131.964,15,265,4096057,42088672223.0,25831,618296500.0,0,0.0,839.6941570288461,89.19683548170433,454.8034550983353,89.7626081022974,2.0994923279614413,4.124624665970952,0,0,0,0,0,1,1,1
482,8,17.9859,-107.596,9,299,28.5476,-112.805,12,321,4349311,64322430910.0,153972,4380089577.0,1652,148796929.0,1820.7071054732266,91.32374962842827,1924.4894552499604,90.98017410735999,2.870103445457151,0.04137165339940122,1,0,0,0,0,0,1,1
483,9,20.9815,123.5,9,270,19.2278,111.333,14,269,5340738,120000000000.0,0,0.0,0,0.0,1747.2369715442821,91.05244521969058,2101.1360882313315,91.400762184505,1.548490399799759,0.5043327580278701,0,0,0,0,0,1,1,1
485,10,13.2497,-109.299,4,285,14.159,-113.729,2,295,1979268,35395680301.0,46614,1624957252.0,4894,151967245.0,1974.4928900513119,88.45990923287414,1845.9290410466947,88.64321546216884,2.937500202123057,4.305350635188731,1,0,0,0,0,0,0,0
486,10,10.5777,149.592,11,225,11.244,139.857,9,276,7200482,156000000000.0,0,0.0,0,0.0,1296.7371604580885,91.3849559111352,1080.349464585367,91.0938068351579,1.6735882325377966,1.1629355562992305,0,0,0,0,0,1,1,1
487,10,8.84506,148.772,9,35,11.111,139.496,7,230,60901094,7110000000000.0,13519681,1630000000000.0,0,0.0,1261.5214510242088,91.22415039143313,1052.3196893199781,91.06486928500772,0.9205398528803713,1.0428110078556874,0,0,0,0,0,1,1,1
488,10,6.59782,149.0,20,276,9.54927,134.63,16,286,5794729,121000000000.0,0,0.0,0,0.0,1386.9819479007285,91.06342824272375,774.4022450191616,90.53183809000977,0.3182420140239079,1.4602516197960556,0,0,0,0,0,1,1,1
489,11,9.16003,160.05,5,259,9.30318,157.027,6,13,9300,63274153.0,0,0.0,0,0.0,2450.4021766518567,91.40895628943717,2915.4869209291032,91.32457770664278,1.0174917949487203,2.337348838420362,0,0,0,0,0,1,0,0
490,1,-12.0675,132.22,5,68,-14.7171,127.723,8,254,1814,297268931.0,0,0.0,0,0.0,4597.105738072712,88.45046013227717,4385.527876348046,88.44032808977072,0.10376649245782424,0.0,0,0,0,1,0,0,0,0
491,6,13.0389,155.56,11,286,16.4598,140.197,19,281,100,22494904.0,0,0.0,0,0.0,1916.045703004433,88.44386022624971,993.1709967731468,88.49307598463227,5.012933986543408,5.350608349388401,0,0,0,0,0,1,0,0
492,7,13.0426,151.656,7,278,17.5004,145.778,8,302,5348140,743000000000.0,0,0.0,0,0.0,1493.1769966566885,88.44828125199562,1591.1674905858063,88.53871413437687,4.313127972691048,0.09304440353401867,0,0,0,0,0,1,1,1
493,7,18.6377,132.501,9,273,17.9184,126.146,6,151,28137,745938882.0,0,0.0,0,0.0,839.1878580034903,90.74276326349933,548.6999696420436,91.16426593005485,4.003094316792443,3.7101970927643517,0,0,0,0,0,1,0,0
494,8,17.2339,161.999,18,273,24.024,156.473,1,72,3000801,383000000000.0,21311,7338243162.0,0,0.0,2628.574578409662,88.61181720208342,2782.6060381063803,88.73815666893888,5.043318254678376,2.499434171172565,0,0,0,0,0,1,1,1
495,8,15.0126,140.608,8,270,15.4926,131.746,9,283,9568093,219000000000.0,3577802,89459666147.0,0,0.0,376.6802105880121,89.11504718566866,97.09497161294063,91.14923817254491,4.305404056463442,6.567926082039589,0,0,0,0,0,1,1,1
496,8,14.3202,144.319,7,270,16.33,132.729,15,276,58532123,1470000000000.0,9621626,265000000000.0,0,0.0,714.6279713623716,88.66401356303578,199.7351171987071,88.67938656898859,0.8274425022229623,5.2931999164150145,0,0,0,0,0,1,1,1
497,8,17.9552,-107.944,13,356,26.38,-109.703,10,350,1963886,33469558126.0,0,0.0,0,0.0,1856.2306287185133,91.33034955574517,1561.807140842719,90.98489441537106,3.0672680549704197,0.2947196872029434,1,0,0,0,0,0,0,0
498,8,20.9232,137.671,20,326,22.9579,128.626,9,141,4133882,555000000000.0,0,0.0,0,0.0,845.3598850903187,90.02560920115589,753.0319498137271,90.31198998439291,1.6583205380314794,2.9687184057106077,0,0,0,0,0,1,1,1
499,8,15.45,150.618,3,293,16.5585,145.765,4,11,47083396,1180000000000.0,1605051,37438200855.0,0,0.0,1401.3463131237988,88.63583395682817,1586.7862602489329,88.47579618430119,4.58876917746142,0.13419892892643173,0,0,0,0,0,1,1,1
500,8,22.7425,119.599,9,185,19.7456,115.103,5,270,3930617,94996657104.0,183489,3140747489.0,0,0.0,2185.7815444156086,91.07180719230239,1717.3437794814222,91.33016766452965,0.4800267128244034,1.8686176733532243,0,0,0,0,0,1,1,1
501,9,14.33,164.01,4,327,20.7124,158.87,14,337,97,159700.0,0,0.0,0,0.0,2827.413518920093,88.48846173876686,2984.7107932736217,88.60085085849546,2.922475854976398,6.049355717564069,0,0,0,0,0,1,0,0
502,9,12.2969,-99.7677,15,286,18.9668,-107.249,8,338,4038138,61987476504.0,767712,12817888941.0,3815,132825413.0,958.7926400472248,88.60092528760724,1105.282343366399,91.4624732071543,4.157818250859217,2.030622958479734,1,0,0,0,0,0,1,1
503,9,15.7014,147.927,7,270,16.8713,139.221,12,288,15150472,1870000000000.0,2332409,294000000000.0,44472,4982047655.0,1124.9873107949666,88.71218661625753,892.0637282173296,88.54962387151063,1.889465322470876,4.735884973799204,0,0,0,0,0,1,1,1
504,9,6.61215,142.011,10,305,10.8926,131.076,9,306,14957082,304000000000.0,0,0.0,0,0.0,800.9564553245605,90.59020789365904,519.007930485261,90.0327032821548,1.0276045920099948,4.5961013125983365,0,0,0,0,0,1,1,1
505,9,13.053,-98.7502,3,287,13.9479,-101.489,7,297,2138836,40519560903.0,193049,2579549969.0,10,1167464.0,837.6964916535354,88.52714040661513,637.440126524241,89.12366497031938,3.0575217071311203,3.2726050018486816,1,0,0,0,0,0,0,0
506,10,12.5498,-98.3458,9,325,17.5636,-103.898,8,291,2475857,36267307084.0,0,0.0,0,0.0,802.0611734154701,88.60008796393292,749.8518557723188,88.4672842153355,3.4523382063723123,0.8436289382056521,1,0,0,0,0,0,1,1
508,10,13.7476,117.635,5,258,11.6166,112.303,4,256,252165,2714594031.0,0,0.0,0,0.0,2192.5712046632834,91.52302475536588,2058.4228892297015,88.65369212859402,2.3847207493383733,1.9705588284222841,0,0,0,0,0,1,0,0
509,11,7.84133,137.981,9,308,13.4324,137.628,10,343,22526928,209000000000.0,7698271,68499927169.0,0,0.0,527.8322708773728,90.02053144259307,765.2738533061214,91.22308989441922,0.6606202379499001,3.836898649961061,0,0,0,0,0,1,1,1
510,11,7.09395,167.7,12,302,10.9499,150.87,18,280,21452098,194000000000.0,6519334,55947022264.0,0,0.0,3320.9586121119646,91.38238972614953,2218.744419181786,91.32926599384696,0.8446826956437655,2.0959010074452493,0,0,0,0,0,1,1,1
511,11,5.75658,166.382,26,295,11.3455,149.646,19,311,31432035,271000000000.0,37586,762942785.0,0,0.0,3215.788795655832,91.32920298616182,2078.750320589383,91.33400642733926,1.7128259396730747,2.402804233991818,0,0,0,0,0,1,1,1
512,3,-10.2041,97.097,8,159,-14.0938,98.0927,3,199,869988,116000000000.0,5790,2163459874.0,0,0.0,843.8612972109356,88.79294656968275,1215.1172158513332,88.5247750541789,1.6811035254665303,2.2265366580880683,0,0,0,1,0,0,0,0
513,4,6.0738,147.608,8,281,6.54997,140.746,6,270,8690517,87182022440.0,907003,9418049240.0,122012,913773409.0,1286.6200305378484,90.9672768131264,1454.2579385481201,90.81237272397236,1.3989177414737468,1.5989534456940915,0,0,0,0,0,1,1,1
514,4,-8.83544,152.725,6,203,-12.1109,149.258,4,298,271454,640736229.0,1965,4043850.0,0,0.0,1485.4751931425217,88.70020941017135,1100.759747366752,88.70643641467184,0.17368139144997635,1.6569689417200877,0,0,0,0,1,0,0,0
515,7,12.8632,-92.2246,12,284,15.5542,-107.539,13,275,354130,5255893347.0,0,0.0,0,0.0,162.29570283907546,89.10380068534843,1164.808888387077,88.63876731909663,1.3644598745356142,4.550767048198905,1,0,0,0,0,0,0,0
516,7,9.54011,130.178,10,298,11.9847,120.658,6,296,559403,10084215557.0,0,0.0,0,0.0,908.3059555634188,88.8273799391734,1178.4030032193791,88.79101298829949,3.8950739580738345,0.28275365754840887,0,0,0,0,0,1,0,0
517,7,4.22746,150.65,9,302,9.61543,141.077,10,308,101545125,2410000000000.0,30948355,770000000000.0,227867,6249972705.0,1678.4816505010242,90.98069958187203,1281.9291779990433,91.01942665095511,2.789557177662793,0.5626426256097228,0,0,0,0,0,1,1,1
518,7,13.9751,116.9,10,337,20.2499,108.222,5,348,4345216,110000000000.0,0,0.0,0,0.0,2272.008702524899,91.51388095280186,2435.107506122164,91.37995104224142,3.116533996185179,0.48629332548369747,0,0,0,0,0,1,1,1
519,8,21.1366,139.44,6,300,29.7955,134.448,11,349,42145,7887832182.0,0,0.0,0,0.0,882.4200823893607,89.81540386069207,1415.0134075397211,89.75148832080122,3.425357743894361,3.2556467442671124,0,0,0,0,0,1,0,0
520,8,9.52628,149.828,9,273,12.4373,140.416,9,309,75689681,8740000000000.0,5974393,694000000000.0,0,0.0,1348.8079571403755,91.30494852926901,1084.9792579476773,91.22451925082811,0.6114567889630457,2.4507932811041013,0,0,0,0,0,1,1,1
524,9,17.2377,-108.125,15,281,20.6306,-109.704,2,183,175969,1592631178.0,0,0.0,0,0.0,1863.0672540480753,91.3728272091754,1379.164282762294,91.35691952481012,3.168953362614386,1.7042243672768032,1,0,0,0,0,0,0,0
525,9,15.1422,-101.099,8,292,22.6892,-111.349,11,303,1076741,17413142965.0,12884,0.0,0,0.0,1091.591255296896,91.43917420354303,1586.2564872303642,91.24814959032445,2.0281491338304014,1.2541018370232138,1,0,0,0,0,0,0,0
526,9,15.1025,165.0,2,8,17.5325,164.375,2,12,39142888,841000000000.0,9108730,178000000000.0,0,0.0,2934.3785636258885,88.51464110544379,3562.229499742425,88.4789651439059,3.4144950916580616,2.8408927869196416,0,0,0,0,0,1,1,1
527,9,12.7041,138.051,11,265,14.6275,129.545,9,310,95682,12163200582.0,0,0.0,0,0.0,20.239177529012643,91.15517313944237,194.69700583077648,89.1648602364342,3.0664605369767943,4.708590981230467,0,0,0,0,0,1,0,0
528,10,14.5512,-104.709,14,301,22.4576,-107.62,12,27,1974515,27890792156.0,428540,3316185543.0,0,0.0,1475.2741725130606,91.51666251010091,1214.5240153563766,91.16608540272576,3.938687873373189,1.1568482287046107,1,0,0,0,0,0,0,0
529,1,-12.1093,129.762,7,252,-13.1113,122.041,11,264,22613,1555832960.0,1965,116552372.0,0,0.0,4330.730730095787,88.45072189703052,3798.0712617605004,88.48768514490693,0.39833730805863293,0.9708078080320537,0,0,0,1,0,0,0,0
530,2,-13.7997,138.683,12,54,-11.7925,146.207,14,110,13872,1179969656.0,7,3340336.0,0,0.0,171.58251554149436,89.38941342592656,801.0628402927471,88.86034925893622,1.7330469736472784,2.1941398433408783,0,0,0,0,1,0,0,0
531,2,-15.57,123.136,15,336,-15.1182,118.357,3,241,51870,7016554914.0,6501,583471617.0,4419,290900603.0,3594.356116653331,91.49283641209237,3379.0911935404065,88.43090596270827,0.04134036372602759,2.369870585993465,0,0,0,1,0,0,0,0
532,2,7.24752,151.205,6,321,8.37352,144.298,10,258,7902508,70095824505.0,758942,6735518221.0,232481,2216055544.0,1574.435378836948,91.17728637665276,1654.0716075449259,91.06047491177746,0.28314702795542773,0.3316155446296188,0,0,0,0,0,1,1,1
533,4,-9.64894,163.861,7,261,-8.23023,159.976,6,291,2529,28334905.0,0,0.0,0,0.0,2663.5532013136008,88.5454147339637,2344.6830491990354,88.74345488028683,1.5742168230091447,0.164675912692173,0,0,0,0,1,0,0,0
534,6,16.6775,116.297,6,44,25.9588,123.982,22,32,43016,5960212260.0,0,0.0,0,0.0,2354.1685847188246,91.39212514648291,1234.8355269661272,90.60178317311664,3.490849098197889,0.2978019647433494,0,0,0,0,0,1,0,0
535,6,6.79773,140.75,15,270,6.43122,128.627,5,292,9894427,93507191067.0,40069,395809141.0,0,0.0,713.6247406271401,90.44738935094958,1026.112406973252,89.76225713168832,1.3581357482288003,2.1954989730913246,0,0,0,0,0,1,1,1
536,6,6.99274,152.65,15,270,12.3841,137.705,18,292,37619004,4360000000000.0,1412966,192000000000.0,44793,4982143677.0,1732.2601194300319,91.19738106441825,817.0248298514911,91.09706217627972,0.06463955557551396,2.788967509719859,0,0,0,0,0,1,1,1
537,6,15.5484,-100.153,5,281,21.9882,-106.14,12,22,2475582,46096159435.0,0,0.0,0,0.0,996.5511073610093,91.38235437179932,1056.185116201286,91.15125477103372,1.2431695934899651,0.2539170574065543,1,0,0,0,0,0,1,1
538,7,11.4549,140.528,8,130,7.76237,132.387,9,270,13674515,362000000000.0,0,0.0,0,0.0,320.40600326424556,91.10695418197923,867.0214070750375,90.1798910276744,1.5861508662977204,1.937720117710754,0,0,0,0,0,1,1,1
539,7,16.0424,-103.71,8,293,21.6216,-109.413,5,324,1609,0.0,0,0.0,0,0.0,1380.3420117710145,91.396429722361,1368.3275834483643,91.27847762128238,2.2168679340919217,1.3423371393282686,1,0,0,0,0,0,0,0
542,8,20.114,136.664,11,193,15.4846,124.602,15,253,3840467,125000000000.0,0,0.0,0,0.0,773.5211192797311,90.16424876813639,676.8456465583618,88.48956486106715,0.6528185877079477,1.41132445740588,0,0,0,0,0,1,1,1
543,8,16.0423,-100.603,12,275,21.5421,-111.256,10,317,656878,9860684597.0,0,0.0,0,0.0,1053.0319887270293,91.34152187480974,1552.810057280962,91.31924030867391,1.0147992195680842,1.8364517032911551,1,0,0,0,0,0,0,0
544,8,18.0454,139.445,15,316,22.534,130.093,8,213,23982088,3240000000000.0,14054017,1780000000000.0,784533,113000000000.0,575.2275029955306,89.71103455924408,677.7476934885923,90.12240498157189,4.11307715308831,2.215625003079723,0,0,0,0,0,1,1,1
545,8,16.9351,115.791,16,247,17.3945,107.15,15,266,300576,4771363105.0,0,0.0,0,0.0,2410.7823221389194,91.3848474770383,2534.2787148406137,91.50656378830654,3.0629455605278104,0.27706421373645534,0,0,0,0,0,1,0,0
546,8,12.8051,-130.001,12,289,14.9897,-139.857,9,283,6166,1633546459.0,0,0.0,0,0.0,4213.194700922205,88.4550039741696,4592.60187176017,88.49518299788936,16.205954422374298,15.61988937916081,1,0,0,0,0,0,0,0
547,8,14.7438,137.469,5,270,15.982,131.432,3,319,93806,9922819998.0,80371,8371770908.0,54924,5841879507.0,211.50773825992687,90.2060859328091,56.731189303948085,88.64917952890339,5.150992215217956,6.4320703580679295,0,0,0,0,0,1,0,0
548,8,28.335,153.652,10,315,32.4667,143.61,6,322,1030722,146000000000.0,0,0.0,0,0.0,2270.1464995011406,89.20767022307274,2054.243753581981,89.34707476757879,4.049856812975615,3.706514324657224,0,0,0,0,0,1,0,0
549,9,18.6003,130.262,15,282,20.2936,126.49,7,40,17759323,352000000000.0,0,0.0,0,0.0,1015.9383706517586,90.91833629620703,648.1710128088523,90.78491407685239,5.9327678445959755,4.34213648836284,0,0,0,0,0,1,1,1
550,9,14.086,141.411,19,303,26.3773,129.04,23,266,1230647,109000000000.0,102012,11734014835.0,0,0.0,405.95114140496185,88.78349186959399,1063.7390078598905,90.1763659245983,3.2705574693944617,0.795541359333366,0,0,0,0,0,1,0,0
551,9,14.9176,139.568,9,257,14.5944,128.175,13,279,38819163,955000000000.0,2683657,57647520985.0,0,0.0,289.55543557607024,89.33152938643961,321.84628092482467,88.86395483089873,4.829299948367775,3.567220930064333,0,0,0,0,0,1,1,1
553,10,11.2987,112.327,2,307,16.2352,111.859,5,33,185699,6825883725.0,0,0.0,0,0.0,2782.5229188563612,88.48709965493266,2035.6318419624065,91.55142362255548,1.8794496374931153,0.20622910805703135,0,0,0,0,0,1,0,0
554,10,7.74399,146.189,17,280,11.5643,129.72,12,266,27266399,627000000000.0,3151166,65534879508.0,0,0.0,1056.5162282948381,91.02595412318274,466.04865219724144,89.72940443531033,0.22702706965469963,3.83916496883176,0,0,0,0,0,1,1,1
555,10,5.65001,142.812,6,260,4.98084,135.848,12,289,220145,1017043630.0,0,0.0,0,0.0,937.3040571087737,90.60520656159373,1272.4468307809016,90.4256293255599,1.0694046229795309,2.5560798190645486,0,0,0,0,0,1,0,0
557,10,7.50001,133.883,11,343,11.24,122.246,15,272,52469,567331561.0,0,0.0,0,0.0,714.2164568538506,89.35205420762209,1053.8828732931909,88.91947204712402,0.4565591109341707,0.0,0,0,0,0,0,1,0,0
558,10,10.1006,155.723,17,277,12.4301,139.824,14,275,32343661,252000000000.0,0,0.0,0,0.0,1965.355057471087,91.42176187299856,1025.1681307683514,91.20276966750069,2.3899872357069225,2.342485257222551,0,0,0,0,0,1,1,1
559,11,9.26255,110.911,7,233,8.24248,103.418,7,298,3963227,37203468368.0,0,0.0,0,0.0,2966.4902087032674,88.55888998805509,3094.1593380930635,88.69967636282044,1.1848956286209364,1.0028138118120433,0,0,0,0,0,1,1,1
560,11,8.06753,127.705,11,342,13.2387,119.185,9,334,1104998,9659949235.0,0,0.0,0,0.0,1221.2005509671649,88.86292742909794,1291.5757341636909,88.64958091941305,1.1882709661520852,1.0538184812333635,0,0,0,0,0,1,0,0
561,11,13.2442,155.661,27,279,14.9834,138.76,14,269,74219,944508177.0,0,0.0,0,0.0,1926.5695992645826,88.45531784945,846.0736624687872,91.4587841951058,5.2373537002996065,4.984386606886047,0,0,0,0,0,1,0,0
562,11,5.09873,142.406,12,270,4.99579,128.891,15,270,1700964,16211170165.0,0,0.0,0,0.0,963.4289234733907,90.53251309811365,1171.9152223154138,89.81606309386142,1.723269256222023,1.752673364681784,0,0,0,0,0,1,0,0
563,11,-8.99705,137.463,9,270,-11.7599,135.025,2,144,30241,2020762353.0,1249,177769246.0,0,0.0,439.4824514629868,90.55158828375423,580.5098211597418,90.95242433658773,0.599417515530703,0.13590180068756455,0,0,0,0,1,0,0,0
