,MONTH,LAT_0hr,LONG_0hr,STORM_SPEED_0hr,STORM_DIR_0hr,LAT_60hr,LONG_60hr,STORM_SPEED_60hr,STORM_DIR_60hr,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets,mag_0hr,ang_0hr,mag_60hr,ang_60hr,dist_0hr,dist_60hr,EP,NI,SA,SI,SP,WP,34kn_pop_qz,34kn_asset_qz
50,6,14.84,117.712,4,270,20.6492,113.345,6,302,91145825,2170000000000.0,10656436,253000000000.0,20,0.0,2187.201942176096,91.46899290258591,1914.0784938035483,91.30497737330221,2.2334592946306326,1.052878282711255,0,0,0,0,0,1,1,1
51,6,14.6931,-99.652,7,286,17.4465,-106.982,7,279,321895,4180707584.0,0,0.0,0,0.0,932.5435277444267,91.46866990466964,1077.0785735268562,88.46724517000305,1.9595569695908288,2.7448793829984557,1,0,0,0,0,0,0,0
52,6,12.1744,128.881,13,291,22.3676,123.694,7,23,51940834,5990000000000.0,1681240,192000000000.0,1798,355592721.0,979.0711984670754,88.49637383437586,1001.2728849500945,90.83765881951527,3.2412227556132245,1.674121311844814,0,0,0,0,0,1,1,1
53,6,15.2883,121.613,17,290,23.73,116.125,4,12,8737644,170000000000.0,0,0.0,0,0.0,1773.4860718068128,91.41778671517288,1732.073076405947,91.08205650368168,0.16939292662033334,0.0,0,0,0,0,0,1,1,1
54,7,23.2976,124.21,4,61,24.6085,128.281,6,70,571059,87312133598.0,0,0.0,0,0.0,1802.474632034736,90.9149729028483,917.1226127961941,90.29245876905928,0.8474145521272336,1.581722867801122,0,0,0,0,0,1,0,0
55,7,27.1975,129.897,7,186,25.8607,125.378,6,291,33091282,759000000000.0,0,0.0,0,0.0,1688.3700937568437,90.50565204029873,1149.0755484778151,90.50577447592879,1.017803923105522,0.8084744126173637,0,0,0,0,0,1,1,1
56,7,9.10251,133.668,5,281,15.598,128.045,7,300,45028068,1070000000000.0,22694573,493000000000.0,10999197,225000000000.0,604.1943793304495,89.14696946638279,308.2430161479601,88.52237561030384,1.4591949570664018,4.022881892129688,0,0,0,0,0,1,1,1
57,8,13.4991,131.198,2,0,17.1636,136.763,12,32,164,86401983.0,0,0.0,0,0.0,727.4061175398136,91.46354762010543,637.4538056768603,88.64748893376724,5.800714116969145,3.3293605079139494,0,0,0,0,0,1,0,0
58,8,22.2001,125.115,10,215,19.2274,114.607,12,285,6026563,134000000000.0,0,0.0,0,0.0,1664.3499699948147,90.93501535740371,1760.280280365984,91.36750396431542,2.2599858159194284,2.5679916600269563,0,0,0,0,0,1,1,1
59,8,13.8547,134.298,8,291,17.6399,129.24,8,346,3289762,444000000000.0,721121,66732957432.0,0,0.0,403.7490981235826,91.27921799087548,254.32976004680924,90.75622758727152,5.723462969380779,6.086159106043243,0,0,0,0,0,1,1,1
61,8,10.297,134.3,12,287,15.5683,122.703,10,284,12752124,299000000000.0,4496355,104000000000.0,47345,1124252984.0,470.95408659323886,89.0356104637228,879.3358372400282,88.46544965617667,2.245366770587158,0.8209102889475781,0,0,0,0,0,1,1,1
62,8,8.54522,136.488,14,315,14.7496,125.077,16,323,52759674,1160000000000.0,13188,204836975.0,0,0.0,476.75012445403326,89.68248837982004,636.5489189177904,88.61820967756425,0.887879293438587,1.0203024136367584,0,0,0,0,0,1,1,1
63,8,8.5426,136.518,14,315,14.6109,125.024,16,318,112459615,2610000000000.0,29602446,707000000000.0,0,0.0,475.9825828486938,89.68907603127215,645.088552966455,88.63918124342132,0.8577833845190768,0.8951925469266382,0,0,0,0,0,1,1,1
65,9,11.263,137.782,16,274,21.1849,124.907,19,312,71737153,1650000000000.0,0,0.0,0,0.0,161.27617564818632,89.93574503505067,830.4284579010389,90.84602178435559,1.673909240572199,2.9508336915305837,0,0,0,0,0,1,1,1
