year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1951,1951223N11148,MARGE,,WP,multi,JPN,48.8,94.8,1217573,1.05E+11,40920,6049107014,0,0
1951,1951223N11148,MARGE,,WP,multi,KOR,39.2,76.3,37398900,5.46E+12,7247423,1.10E+12,0,0
1951,1951223N11148,MARGE,,WP,multi,PRK,31.7,61.6,2678924,835316169,0,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,BRB,21.1,41.1,221937,3568487999,0,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,CUB,19.9,38.6,1864,21334998,0,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,DMA,48.5,94.2,66839,0,66839,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,DOM,28.3,55.1,233172,6366540514,0,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,GLP,39.5,76.7,430747,0,2614,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,HTI,30.4,59.2,2558718,5397738349,0,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,JAM,68.1,132.4,2788659,21481978182,2788659,21481978182,2552903,19483462361
1951,1951224N12316,CHARLIE,,NA,multi,KNA,19.3,37.5,17,0,0,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,LCA,27.7,53.8,181776,1841187540,0,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,MEX,66.5,129.3,8010585,1.24E+11,3473070,47423122786,1218769,13118389403
1951,1951224N12316,CHARLIE,,NA,multi,MSR,23,44.8,6201,0,0,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,MTQ,40.2,78.1,413065,0,346326,0,0,0
1951,1951224N12316,CHARLIE,,NA,multi,VCT,18.6,36.2,2479,40161673,0,0,0,0
1951,1951237N16259,UNNAMED,,EP,single,MEX,29.6,57.5,1051497,18149881454,0,0,0,0
1951,1951239N11144,NORA,,WP,multi,CHN,61.4,119.4,10395631,2.41E+11,5881235,1.34E+11,1860218,47410738595
1951,1951239N11144,NORA,,WP,multi,LAO,22.3,43.4,56911,810194040,0,0,0,0
1951,1951239N11144,NORA,,WP,multi,PHL,53.3,103.6,10120341,66432941258,6069769,31665280860,38033,263728120
1951,1951239N11144,NORA,,WP,multi,VNM,41.6,80.8,35531329,2.07E+11,2354733,12196669184,0,0
1951,1951239N12334,DOG,,NA,multi,BRB,31.8,61.8,275978,4430200898,0,0,0,0
1951,1951239N12334,DOG,,NA,multi,DMA,33.4,64.8,66839,0,0,0,0,0
1951,1951239N12334,DOG,,NA,multi,GLP,21.7,42.1,54128,0,0,0,0,0
1951,1951239N12334,DOG,,NA,multi,LCA,46.2,89.9,181776,1841187540,181776,1841187540,0,0
1951,1951239N12334,DOG,,NA,multi,MTQ,55.4,107.6,413065,0,413065,0,261544,0
1951,1951239N12334,DOG,,NA,multi,VCT,32.9,63.9,101293,1183365676,0,0,0,0
1951,1951246N13340,FOX,,NA,single,CPV,19.7,38.4,37139,372434482,0,0,0,0
1951,1951246N14120,UNNAMED,,WP,multi,CHN,23.5,45.8,1324085,26293549862,0,0,0,0
1951,1951246N14120,UNNAMED,,WP,multi,LAO,18,35.1,96,7141314,0,0,0,0
1951,1951246N14120,UNNAMED,,WP,multi,VNM,26,50.6,2331326,11985553374,0,0,0,0
1951,1951255N17254,UNNAMED,,EP,single,MEX,28.8,56,1214746,23119073524,0,0,0,0
1951,1951263N08137,UNNAMED,,WP,multi,PHL,24.9,48.4,151599,1344468774,0,0,0,0
1951,1951263N08137,UNNAMED,,WP,multi,TWN,51,99.1,19277954,4.07E+12,8312627,1.70E+12,104,0
1951,1951263N19267,GEORGE,,NA,single,MEX,29.4,57.2,3598421,55747636625,0,0,0,0
1951,1951272N20274,HOW,,NA,multi,BHS,23.3,45.3,53621,2019021272,0,0,0,0
1951,1951272N20274,HOW,,NA,multi,ISL,46.6,90.5,70072,21775177933,27343,5478158157,0,0
1951,1951272N20274,HOW,,NA,multi,USA,37,72,8997814,1.63E+12,689151,1.27E+11,0,0
1951,1951281N11147,RUTH,,WP,single,JPN,59.4,115.5,96950843,1.15E+13,33303723,4.03E+12,2310209,2.81E+11
1951,1951285N16280,ITEM,,NA,multi,CUB,30.4,59.2,408792,4985658583,0,0,0,0
1951,1951321N09143,WANDA,,WP,multi,KHM,39.7,77.1,1096326,8507280426,20341,443339696,0,0
1951,1951321N09143,WANDA,,WP,multi,LAO,17.8,34.6,287,10272153,0,0,0,0
1951,1951321N09143,WANDA,,WP,multi,PHL,60.3,117.2,27831628,2.81E+11,7954723,82830458854,1826023,20919814804
1951,1951321N09143,WANDA,,WP,multi,VNM,59.3,115.4,9165442,85895697894,3936485,35279064069,1205687,9681426601
